"","code_muni","code_muni2","MUNICIPIO","UF"
"1",110002,"1100023","Ariquemes","RO"
"2",110003,"1100031","Cabixi","RO"
"3",110004,"1100049","Cacoal","RO"
"4",110005,"1100056","Cerejeiras","RO"
"5",110006,"1100064","Colorado do Oeste","RO"
"6",110007,"1100072","Corumbiara","RO"
"7",110008,"1100080","Costa Marques","RO"
"8",110009,"1100098","Espigão D'Oeste","RO"
"9",110010,"1100106","Guajará-Mirim","RO"
"10",110011,"1100114","Jaru","RO"
"11",110012,"1100122","Ji-Paraná","RO"
"12",110013,"1100130","Machadinho D'Oeste","RO"
"13",110014,"1100148","Nova Brasilândia D'Oeste","RO"
"14",110015,"1100155","Ouro Preto do Oeste","RO"
"15",110018,"1100189","Pimenta Bueno","RO"
"16",110020,"1100205","Porto Velho","RO"
"17",110025,"1100254","Presidente Médici","RO"
"18",110026,"1100262","Rio Crespo","RO"
"19",110028,"1100288","Rolim de Moura","RO"
"20",110029,"1100296","Santa Luzia D'Oeste","RO"
"21",110030,"1100304","Vilhena","RO"
"22",110032,"1100320","São Miguel do Guaporé","RO"
"23",110033,"1100338","Nova Mamoré","RO"
"24",110034,"1100346","Alvorada D'Oeste","RO"
"25",110037,"1100379","Alto Alegre dos Parecis","RO"
"26",110040,"1100403","Alto Paraíso","RO"
"27",110045,"1100452","Buritis","RO"
"28",110050,"1100502","Novo Horizonte do Oeste","RO"
"29",110060,"1100601","Cacaulândia","RO"
"30",110070,"1100700","Campo Novo de Rondônia","RO"
"31",110080,"1100809","Candeias do Jamari","RO"
"32",110090,"1100908","Castanheiras","RO"
"33",110092,"1100924","Chupinguaia","RO"
"34",110094,"1100940","Cujubim","RO"
"35",110100,"1101005","Governador Jorge Teixeira","RO"
"36",110110,"1101104","Itapuã do Oeste","RO"
"37",110120,"1101203","Ministro Andreazza","RO"
"38",110130,"1101302","Mirante da Serra","RO"
"39",110140,"1101401","Monte Negro","RO"
"40",110143,"1101435","Nova União","RO"
"41",110145,"1101450","Parecis","RO"
"42",110146,"1101468","Pimenteiras do Oeste","RO"
"43",110147,"1101476","Primavera de Rondônia","RO"
"44",110148,"1101484","São Felipe D'Oeste","RO"
"45",110149,"1101492","São Francisco do Guaporé","RO"
"46",110150,"1101500","Seringueiras","RO"
"47",110155,"1101559","Teixeirópolis","RO"
"48",110160,"1101609","Theobroma","RO"
"49",110170,"1101708","Urupá","RO"
"50",110175,"1101757","Vale do Anari","RO"
"51",110180,"1101807","Vale do Paraíso","RO"
"52",120001,"1200013","Acrelândia","AC"
"53",120005,"1200054","Assis Brasil","AC"
"54",120010,"1200104","Brasiléia","AC"
"55",120013,"1200138","Bujari","AC"
"56",120017,"1200179","Capixaba","AC"
"57",120020,"1200203","Cruzeiro do Sul","AC"
"58",120025,"1200252","Epitaciolândia","AC"
"59",120030,"1200302","Feijó","AC"
"60",120032,"1200328","Jordão","AC"
"61",120033,"1200336","Mâncio Lima","AC"
"62",120034,"1200344","Manoel Urbano","AC"
"63",120035,"1200351","Marechal Thaumaturgo","AC"
"64",120038,"1200385","Plácido de Castro","AC"
"65",120039,"1200393","Porto Walter","AC"
"66",120040,"1200401","Rio Branco","AC"
"67",120042,"1200427","Rodrigues Alves","AC"
"68",120043,"1200435","Santa Rosa do Purus","AC"
"69",120045,"1200450","Senador Guiomard","AC"
"70",120050,"1200500","Sena Madureira","AC"
"71",120060,"1200609","Tarauacá","AC"
"72",120070,"1200708","Xapuri","AC"
"73",120080,"1200807","Porto Acre","AC"
"74",130002,"1300029","Alvarães","AM"
"75",130006,"1300060","Amaturá","AM"
"76",130008,"1300086","Anamã","AM"
"77",130010,"1300102","Anori","AM"
"78",130014,"1300144","Apuí","AM"
"79",130020,"1300201","Atalaia do Norte","AM"
"80",130030,"1300300","Autazes","AM"
